word,attr
かくして,解説
すると,解説
然し乍ら,制限
即ち,解説
けれども,制限
けれど,制限
つまるところ,解説
なので,解説
そうしたら,解説
否,制限
否,制限
かつ,付加
と同時に,付加
ならびに,付加
または,付加
ですが,転換
然しながら,制限
然しながら,譲歩
こうして,解説
いっぽう,転換
そもそも,解説
では,転換
かたや,対比
だとすれば,解説
それでも,譲歩
しかしながら,制限
然し,対比
次いで,付加
ただ,制限
とすれば,解説
若しくは,対比
だから,解説
そのうえに,付加
つまり,解説
なぜなら,解説
ちなみに,付加
追って,付加
しかも,付加
まずは,解説
次に,解説
ですから,解説
だからこそ,解説
それも,解説
どころか,制限
或は,対比
亦,転換
亦,対比
そのうえで,付加
そこで,解説
故に,解説
譬えば,例示
されど,制限
よって,解説
そうして,解説
及び,付加
ところで,転換
というのも,解説
併せて,付加
しかし,制限
しかし,転換
たとえば,例示
それなのに,制限
ともに,付加
あるいは,対比
そして,解説
ところが,制限
したがって,解説
さらに,付加
例へば,例示
逆に,対比
だからといって,譲歩
譬へば,例示
だが,制限
および,付加
或いは,付加
ゆえに,解説
それで,解説
但し,制限
さて,転換
おなじく,付加
はんめん,対比
例えば,例示
そういえば,転換
ただし,制限
にもかかわらず,譲歩
にもかかわらず,制限
但,制限
因みに,転換
又,転換
又,対比
もっとも,付加
また,転換
また,対比
一方,転換
一方,対比
又は,対比
ついては,解説
そうすると,解説
そのうえ,付加
ついで,付加
それと,付加
だとすると,解説
尚,対比
同じく,付加
すなわち,解説
並びに,付加
なお,制限
そうなると,解説
それから,解説
反面,対比
あわせて,付加
もしくは,転換
従って,解説
だけれども,制限
ならば,解説
そして,付加
